Vote,Sector,Subprogram,Financial Year,Released Budget (UGX),Actual Expenditure (UGX),Source File
10,Agric,"Class: Outputs Provided
211101 General Staff Salaries
211102 Contract Staff Salaries
211103 Allowances (Inc. Casuals, Temporary)
211107 Ex-Gratia for other Retired and Serving Public
Servants
212102 Pension for General Civil Service
213001 Medical expenses (To employees)
213002 Incapacity, death benefits and funeral expenses
213004 Gratuity Expenses
221001 Advertising and Public Relations
221002 Workshops and Seminars
221003 Staff Training
221005 Hire of Venue (chairs, projector, etc)
221007 Books, Periodicals & Newspapers
221008 Computer supplies and Information Technology (IT)
221009 Welfare and Entertainment
221010 Special Meals and Drinks
221011 Printing, Stationery, Photocopying and Binding
221012 Small Office Equipment
221016 IFMS Recurrent costs
221017 Subscriptions
222001 Telecommunications
222002 Postage and Courier
222003 Information and communications technology (ICT)
223002 Rates
223003 Rent – (Produced Assets) to private entities
223004 Guard and Security services
223005 Electricity
223006 Water
224001 Medical Supplies
224004 Cleaning and Sanitation
224006 Agricultural Supplies
224010 Food Supplies
224011 Relief Supplies
225001 Consultancy Services- Short term
227001 Travel inland
227002 Travel abroad",21/22,88.51,151.54,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
13,Education,"09 Transparency, Accountability and Anti- Corruption
10 Specialised and Other Investigations
11 Decentralised Anti-Corruption Interventions
12 Prosecutions and Civil Litigations
13 Enforcement of Leadership Code of Conduct
14 Education and Prevention of Corruption
16 Management and Resolution of Complaints
17 Systemic Interventions",21/22,1.24,1.24,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
13,Education,"02 Internal Audit and Compliance
03 Corporate services
04 Legal Services
08 Research & Planning, Public Awarenessand Tax
Education
1622 Retooling of Uganda Revenue Authority
05 Domestic Taxes
06 Customs
07 Tax Investigations",21/22,8.28,8.28,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
14,Health,"1424 Population Advocacy, Family Health and
Communication
1449 Policy, Planning and Support Services",21/22,7.04,4.91,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
14,Health,"Programme 1424 Population Advocacy, Family Health
and Communication",21/22,7.04,4.91,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
14,Health,"04 Monitoring and Evaluation Department
05 Family Health Department
06 Information and Communication Department",21/22,3.59,2.29,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,"Class: Outputs Provided
211103 Allowances (Inc. Casuals, Temporary)
211105 Missions staff salaries
212201 Social Security Contributions
213001 Medical expenses (To employees)
221001 Advertising and Public Relations
221003 Staff Training
221005 Hire of Venue (chairs, projector, etc)
221009 Welfare and Entertainment
221011 Printing, Stationery, Photocopying and Binding
221012 Small Office Equipment
221014 Bank Charges and other Bank related costs
222001 Telecommunications
222002 Postage and Courier
222003 Information and communications technology (ICT)
223001 Property Expenses
223003 Rent – (Produced Assets) to private entities
223004 Guard and Security services
223005 Electricity
223006 Water
224006 Agricultural Supplies
226001 Insurances
227001 Travel inland
227002 Travel abroad
227003 Carriage, Haulage, Freight and transport hire
227004 Fuel, Lubricants and Oils
228001 Maintenance - Civil
228002 Maintenance - Vehicles",21/22,4.62,4.41,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,"1360 Markets and Agricultural Trade Improvements
Programme (MATIP 2)
1381 Restoration of Livelihoods in Northern Region
(PRELNOR)
1509 Local Economic Growth (LEGS) Support Project
1763 Rural Development and Food Security in Northern
Uganda",21/22,1,13.84,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,"Programme: 2017 Local Government Administration 129.57 132.60 132.90 102.3% 102.6% 100.2%
and Development
Development Projects.
1360 Markets and Agricultural Trade Improvements 71.16 96.91 94.39 136.2% 132.6% 97.4%
Programme (MATIP 2)
1381 Restoration of Livelihoods in Northern Region 25.02 12.36 19.99 49.4% 79.9% 161.7%
(PRELNOR)
1509 Local Economic Growth (LEGS) Support Project 33.39 23.33 18.51 69.8% 55.4% 79.4%",21/22,129.57,132.6,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,"223901 Rent – (Produced Assets) to other govt. units
224001 Medical Supplies
224002 General Supply of Goods and Services
224003 Classified Expenditure
224004 Cleaning and Sanitation
224005 Uniforms, Beddings and Protective Gear
224006 Agricultural Supplies
224010 Food Supplies
224011 Relief Supplies
225001 Consultancy Services- Short term
225002 Consultancy Services- Long-term
225003 Taxes on (Professional) Services
226001 Insurances
226002 Licenses
227001 Travel inland
227002 Travel abroad
227003 Carriage, Haulage, Freight and transport hire
227004 Fuel, Lubricants and Oils
228001 Maintenance - Civil
228002 Maintenance - Vehicles
228003 Maintenance – Machinery, Equipment & Furniture
228004 Maintenance – Other
229201 Sale of goods purchased for resale
273101 Medical expenses (To general Public)
273102 Incapacity,death benefits and funeral expenses
281401 Rental – non produced assets
281501 Environment Impact Assessment for Capital Works
281502 Feasibility Studies for Capital Works
281503 Engineering and Design Studies & Plans for capital works
281504 Monitoring, Supervision & Appraisal of Capital work
282101 Donations
282102 Fines and Penalties/ Court wards
282103 Scholarships and related costs
282104 Compensation to 3rd Parties
282105 Court Awards",21/22,5.48,5.89,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agriculture,Agriculture,21/22,356.692,309.577,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,Agriculture,21/22,356.692,309.577,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,"263101 LG Conditional grants
263314 Conditional transfers for Agric Extension
263340 Other grants
263348 Conditional Transfers for Production and marketing
321466 Sector Conditional Grant (Wage)
321470 Development Grant
Works and Transport",21/22,182.516,142.406,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
13,Education,"263101 LG Conditional grants
Education",21/22,2.232,1.674,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
14,Health,"321466 Sector Conditional Grant (Wage)
321467 Sector Conditional Grant (Non-Wage)
321470 Development Grant
Health",21/22,1529.05,1529.05,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agriculture,1,21/22,13,3,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,1,21/22,13,3,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agriculture,1,21/22,1686,3,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,1,21/22,1686,3,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agriculture,1,21/22,1686,3,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,1,21/22,1686,3,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agriculture,1,21/22,1619,72,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,1,21/22,1619,72,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agriculture,1,21/22,1619,77,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,1,21/22,1619,77,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agriculture,1,21/22,1,6,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,1,21/22,1,6,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agriculture,1,21/22,1,6,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,1,21/22,1,6,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agriculture,1,21/22,1,6,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,1,21/22,1,6,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agriculture,1,21/22,1,6,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,1,21/22,1,6,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agriculture,1,21/22,903,6,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,1,21/22,903,6,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agriculture,1,21/22,903,6,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,1,21/22,903,6,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agriculture,1,21/22,903,6,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,1,21/22,903,6,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agriculture,1,21/22,903,6,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,1,21/22,903,6,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agriculture,1,21/22,903,6,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,1,21/22,903,6,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agriculture,1,21/22,903,6,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,1,21/22,903,6,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agriculture,1,21/22,903,6,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,1,21/22,903,6,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agriculture,1,21/22,903,6,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,1,21/22,903,6,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agriculture,1,21/22,903,6,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,1,21/22,903,6,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agriculture,1,21/22,903,6,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,1,21/22,903,6,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agriculture,1,21/22,903,6,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,1,21/22,903,6,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agriculture,1,21/22,903,6,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,1,21/22,903,6,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agriculture,1,21/22,903,6,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,1,21/22,903,6,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agriculture,1,21/22,903,6,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,1,21/22,903,6,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agriculture,1,21/22,903,6,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,1,21/22,903,6,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agriculture,1,21/22,903,6,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,1,21/22,903,6,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agriculture,1,21/22,903,14,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,1,21/22,903,14,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agriculture,1,21/22,903,14,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,1,21/22,903,14,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agriculture,1,21/22,903,14,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,1,21/22,903,14,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agriculture,1,21/22,903,15,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,1,21/22,903,15,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agriculture,1,21/22,903,15,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,1,21/22,903,15,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agriculture,1,21/22,903,15,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,1,21/22,903,15,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agriculture,1,21/22,903,15,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,1,21/22,903,15,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agriculture,1,21/22,903,18,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,1,21/22,903,18,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agriculture,1,21/22,903,18,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,1,21/22,903,18,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agriculture,1,21/22,903,22,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,1,21/22,903,22,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agriculture,1,21/22,903,22,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,1,21/22,903,22,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agriculture,1,21/22,903,72,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,1,21/22,903,72,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agriculture,1,21/22,903,72,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,1,21/22,903,72,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agriculture,1,21/22,903,72,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,1,21/22,903,72,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agriculture,1,21/22,903,72,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,1,21/22,903,72,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agriculture,1,21/22,903,72,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,1,21/22,903,72,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agriculture,1,21/22,903,72,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,1,21/22,903,72,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agriculture,1,21/22,903,72,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,1,21/22,903,72,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agriculture,1,21/22,903,72,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,1,21/22,903,72,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agriculture,1,21/22,903,72,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,1,21/22,903,72,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agriculture,1,21/22,903,72,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,1,21/22,903,72,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agriculture,1,21/22,903,72,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,1,21/22,903,72,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agriculture,1,21/22,903,72,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,1,21/22,903,72,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agriculture,1,21/22,903,72,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,1,21/22,903,72,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agriculture,1,21/22,903,72,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,1,21/22,903,72,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agriculture,1,21/22,903,72,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
10,Agric,1,21/22,903,72,Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf
